Year,Day,Amount_Lost_INR,Incident_Type,City,Category
2019,24,342705,Online Fraud,Lucknow,Corporate
2021,15,272090,Online Fraud,Chennai,Corporate
2024,8,226314,Identity Theft,Lucknow,Government
2021,5,439716,Identity Theft,Chennai,Health
2019,15,236612,Cyber Bullying,Lucknow,Personal
2024,4,279453,Ransomware,Chennai,Social Media
2023,12,56230,Malware,Delhi,Government
2019,13,374966,Online Fraud,Ahmedabad,Personal
2021,2,492872,Cyber Bullying,Pune,Government
2020,27,424243,Cyber Bullying,Hyderabad,Corporate
2022,19,466757,Malware,Bangalore,Educational
2021,19,375484,Cyber Bullying,Jaipur,E-commerce
2024,4,60321,Data Breach,Mumbai,Government
2019,4,133028,Ransomware,Hyderabad,Personal
2022,26,232447,Identity Theft,Mumbai,Personal
2019,11,337275,Hacking,Pune,E-commerce
2024,27,442124,Malware,Hyderabad,Health
2019,5,472555,Identity Theft,Chennai,Social Media
2020,20,289107,Identity Theft,Chennai,Corporate
2022,11,102757,Phishing,Jaipur,Personal
2022,10,433659,Data Breach,Mumbai,Financial
2024,8,362403,Malware,Bangalore,Educational
2020,6,302207,Cyber Bullying,Pune,Government
2021,6,377369,Hacking,Chennai,Health
2019,8,379544,Malware,Ahmedabad,Social Media
2023,23,343962,Cyber Bullying,Delhi,E-commerce
2019,15,267847,Identity Theft,Delhi,Educational
2019,26,197200,Hacking,Lucknow,Corporate
2021,14,73099,Cyber Bullying,Bangalore,Health
2019,11,420065,Ransomware,Delhi,Social Media
2020,12,163932,Cyber Bullying,Lucknow,Government
2020,26,32585,Phishing,Mumbai,Government
2022,13,416231,Data Breach,Chennai,E-commerce
2024,8,471755,Identity Theft,Chennai,Financial
2023,18,44585,Cyber Bullying,Ahmedabad,E-commerce
2019,25,290102,Data Breach,Hyderabad,Corporate
2019,1,289161,Online Fraud,Delhi,Health
2021,15,470923,Online Fraud,Mumbai,Health
2024,8,387821,Data Breach,Kolkata,Personal
2020,28,439566,Data Breach,Delhi,Financial
2023,11,406417,Phishing,Bangalore,Financial
2022,12,292570,Ransomware,Hyderabad,Health
2020,12,280922,Identity Theft,Delhi,Health
2024,4,177313,Malware,Mumbai,Educational
2022,16,43229,Phishing,Delhi,Social Media
2021,4,87652,Ransomware,Bangalore,Educational
2021,5,391411,Data Breach,Kolkata,Educational
2019,24,250474,Malware,Pune,Financial
2024,5,180436,Data Breach,Jaipur,Personal
2023,8,493049,Data Breach,Kolkata,Government
2022,10,389647,Online Fraud,Lucknow,Educational
2020,17,261116,Online Fraud,Delhi,Personal
2024,28,348022,Malware,Chennai,E-commerce
2024,26,320200,Phishing,Ahmedabad,Corporate
2021,9,421706,Online Fraud,Chennai,Educational
2019,22,20975,Identity Theft,Kolkata,E-commerce
2019,19,158795,Data Breach,Chennai,Government
2022,14,417495,Hacking,Mumbai,Corporate
2021,8,210373,Cyber Bullying,Chennai,Corporate
2024,9,405777,Malware,Hyderabad,Government
2023,22,198133,Malware,Pune,Educational
2021,11,351541,Online Fraud,Delhi,Financial
2022,23,181225,Phishing,Chennai,Government
2022,1,296286,Data Breach,Bangalore,Government
2021,14,290060,Identity Theft,Pune,Government
2022,5,65324,Phishing,Pune,Corporate
2021,21,177037,Ransomware,Chennai,Social Media
2020,26,389076,Ransomware,Pune,Personal
2021,14,136720,Hacking,Ahmedabad,E-commerce
2021,4,167205,Online Fraud,Chennai,Financial
2022,22,444893,Online Fraud,Mumbai,Educational
2022,23,97059,Online Fraud,Kolkata,Educational
2019,25,488804,Hacking,Hyderabad,E-commerce
2019,1,494166,Ransomware,Jaipur,Personal
2020,22,99317,Phishing,Lucknow,Government
2019,23,202207,Hacking,Pune,Social Media
2021,19,298190,Hacking,Mumbai,Financial
2022,8,441280,Phishing,Delhi,Educational
2019,15,102459,Online Fraud,Delhi,E-commerce
2019,21,238697,Identity Theft,Lucknow,Health
2020,15,201422,Phishing,Hyderabad,Social Media
2024,9,309037,Ransomware,Pune,E-commerce
2020,21,102520,Malware,Ahmedabad,Social Media
2021,9,388962,Data Breach,Lucknow,Educational
2022,10,62272,Malware,Hyderabad,Government
2020,20,224224,Cyber Bullying,Pune,Health
2019,25,330793,Cyber Bullying,Mumbai,Personal
2022,21,327818,Hacking,Kolkata,Financial
2022,26,145832,Data Breach,Ahmedabad,Personal
2019,9,153999,Malware,Jaipur,Personal
2020,3,349619,Identity Theft,Delhi,E-commerce
2019,20,62367,Online Fraud,Bangalore,Social Media
2024,25,230027,Ransomware,Mumbai,Financial
2022,26,406804,Cyber Bullying,Delhi,Financial
2023,11,384894,Identity Theft,Chennai,Educational
2023,6,233750,Ransomware,Bangalore,Educational
2021,2,236806,Ransomware,Delhi,Financial
2019,7,381298,Online Fraud,Hyderabad,Health
2019,18,184305,Data Breach,Ahmedabad,Corporate
2021,27,45738,Hacking,Delhi,Educational
2021,2,34397,Malware,Jaipur,Corporate
2021,27,345333,Online Fraud,Kolkata,E-commerce
2022,17,339511,Identity Theft,Hyderabad,Health
2024,11,203332,Hacking,Mumbai,Financial
2019,27,383729,Identity Theft,Mumbai,Health
2022,12,339763,Hacking,Mumbai,Educational
2021,27,112453,Data Breach,Mumbai,Personal
2019,19,20816,Cyber Bullying,Kolkata,E-commerce
2022,22,436456,Identity Theft,Delhi,Financial
2024,24,400492,Online Fraud,Pune,Government
2022,25,246011,Hacking,Delhi,E-commerce
2024,7,498415,Hacking,Chennai,Social Media
2021,20,342674,Ransomware,Ahmedabad,Corporate
2024,6,417715,Ransomware,Bangalore,Health
2019,21,482792,Phishing,Pune,Financial
2021,24,372000,Identity Theft,Pune,E-commerce
2019,1,214567,Ransomware,Delhi,Health
2023,17,72635,Phishing,Pune,Financial
2020,11,370947,Cyber Bullying,Lucknow,Educational
2024,22,217184,Cyber Bullying,Lucknow,E-commerce
2020,26,299090,Ransomware,Chennai,Educational
2020,28,318348,Identity Theft,Bangalore,E-commerce
2024,18,183958,Hacking,Jaipur,Educational
2021,21,465868,Malware,Kolkata,Social Media
2023,17,278707,Data Breach,Delhi,Health
2019,7,93324,Identity Theft,Kolkata,Government
2022,17,224536,Data Breach,Jaipur,E-commerce
2019,20,233944,Online Fraud,Delhi,Social Media
2022,9,272991,Cyber Bullying,Delhi,E-commerce
2019,17,27155,Ransomware,Bangalore,Educational
2024,20,342815,Ransomware,Kolkata,Financial
2023,22,117891,Data Breach,Lucknow,E-commerce
2022,22,346454,Hacking,Mumbai,Social Media
2021,28,461494,Data Breach,Kolkata,Educational
2019,8,150381,Online Fraud,Ahmedabad,Personal
2019,17,132691,Hacking,Ahmedabad,Educational
2022,7,477410,Online Fraud,Delhi,Health
2021,1,444324,Malware,Mumbai,Government
2021,13,35707,Cyber Bullying,Hyderabad,Personal
2024,23,414553,Ransomware,Jaipur,Health
2024,19,344681,Ransomware,Chennai,Health
2024,27,198576,Malware,Mumbai,Health
2024,24,179686,Phishing,Chennai,Financial
2024,19,223500,Cyber Bullying,Kolkata,Health
2024,17,354299,Hacking,Kolkata,Financial
2023,13,263425,Malware,Chennai,Health
2021,16,159492,Hacking,Jaipur,Corporate
2024,8,475112,Data Breach,Mumbai,Social Media
2021,19,171102,Identity Theft,Hyderabad,Personal
2021,18,395274,Ransomware,Delhi,Corporate
2020,1,218285,Hacking,Bangalore,Health
2023,14,339404,Online Fraud,Kolkata,Personal
2024,19,160476,Hacking,Ahmedabad,Personal
2019,15,235554,Identity Theft,Jaipur,E-commerce
2022,18,499500,Cyber Bullying,Bangalore,Government
2019,2,161928,Ransomware,Hyderabad,Corporate
2023,22,141272,Data Breach,Pune,Government
2022,28,327322,Malware,Delhi,Personal
2023,17,297141,Data Breach,Kolkata,Financial
2021,18,419827,Identity Theft,Delhi,Personal
2022,6,120273,Ransomware,Bangalore,Government
2021,19,173307,Hacking,Delhi,Corporate
2019,4,249500,Cyber Bullying,Pune,Health
2019,1,167129,Phishing,Bangalore,E-commerce
2022,8,133311,Cyber Bullying,Kolkata,E-commerce
2022,23,235746,Phishing,Mumbai,E-commerce
2024,7,246546,Online Fraud,Ahmedabad,Health
2023,3,197733,Cyber Bullying,Bangalore,E-commerce
2024,10,127945,Ransomware,Lucknow,Corporate
2023,10,46272,Phishing,Pune,Health
2024,19,352537,Malware,Bangalore,E-commerce
2021,14,324356,Ransomware,Bangalore,Health
2022,2,147470,Malware,Lucknow,Government
2019,28,121030,Cyber Bullying,Kolkata,Social Media
2023,1,319647,Malware,Bangalore,Social Media
2023,23,400854,Phishing,Ahmedabad,Corporate
2019,23,7570,Ransomware,Delhi,Educational
2024,28,331929,Hacking,Kolkata,Financial
2023,18,10110,Identity Theft,Ahmedabad,E-commerce
2021,7,80141,Phishing,Kolkata,Financial
2022,8,13115,Phishing,Ahmedabad,Health
2019,1,40062,Hacking,Pune,Financial
2022,25,286055,Ransomware,Ahmedabad,Corporate
2023,23,105061,Ransomware,Chennai,Corporate
2023,3,295700,Data Breach,Ahmedabad,Personal
2019,24,472347,Cyber Bullying,Mumbai,Social Media
2021,23,391479,Malware,Mumbai,E-commerce
2020,27,2969,Cyber Bullying,Jaipur,Personal
2019,8,306897,Hacking,Chennai,Financial
2020,22,477027,Cyber Bullying,Chennai,Educational
2024,25,398686,Hacking,Delhi,Personal
2020,15,122863,Ransomware,Chennai,Personal
2021,5,273369,Malware,Delhi,Corporate
2024,3,124008,Cyber Bullying,Jaipur,Educational
2020,19,155268,Phishing,Jaipur,Health
2024,1,106823,Online Fraud,Pune,Financial
2020,28,276813,Data Breach,Mumbai,Personal
2021,15,431596,Identity Theft,Ahmedabad,Educational
2020,8,387542,Phishing,Ahmedabad,Social Media
2020,2,111677,Ransomware,Lucknow,E-commerce
2020,3,247958,Identity Theft,Lucknow,Educational
2019,24,49320,Online Fraud,Hyderabad,Social Media
2019,14,441630,Online Fraud,Kolkata,Financial
2019,24,497758,Malware,Pune,Educational
2021,14,147649,Identity Theft,Hyderabad,Social Media
2024,11,126354,Malware,Hyderabad,Educational
2023,16,89009,Phishing,Bangalore,Educational
2020,4,258437,Hacking,Bangalore,E-commerce
2020,20,449625,Hacking,Hyderabad,Social Media
2021,5,29625,Hacking,Chennai,Social Media
2020,22,213112,Identity Theft,Kolkata,Personal
2019,21,287233,Hacking,Pune,Financial
2023,14,37487,Phishing,Hyderabad,E-commerce
2022,23,460054,Malware,Ahmedabad,Educational
2020,16,229071,Identity Theft,Kolkata,Educational
2019,18,373592,Malware,Bangalore,Personal
2022,7,489011,Identity Theft,Ahmedabad,Financial
2023,10,313282,Malware,Bangalore,Corporate
2022,7,174895,Online Fraud,Bangalore,E-commerce
2019,1,431424,Malware,Kolkata,Personal
2024,23,317205,Hacking,Bangalore,Financial
2024,21,424875,Online Fraud,Jaipur,E-commerce
2022,19,102376,Malware,Mumbai,Educational
2021,16,426106,Identity Theft,Jaipur,Financial
2022,19,342278,Identity Theft,Mumbai,Financial
2020,4,310199,Data Breach,Lucknow,Health
2020,28,244341,Identity Theft,Lucknow,Financial
2024,18,282652,Ransomware,Bangalore,Corporate
2021,2,436503,Phishing,Pune,Financial
2019,1,473132,Identity Theft,Pune,Corporate
2020,15,159056,Online Fraud,Mumbai,Educational
2024,5,111169,Data Breach,Ahmedabad,Corporate
2023,20,271269,Identity Theft,Kolkata,E-commerce
2024,11,37059,Ransomware,Bangalore,Educational
2020,10,463785,Hacking,Kolkata,Educational
2020,2,104409,Online Fraud,Jaipur,Corporate
2024,3,411303,Ransomware,Pune,Social Media
2019,23,6704,Hacking,Chennai,Personal
2022,23,454792,Cyber Bullying,Jaipur,Government
2020,12,205456,Cyber Bullying,Jaipur,Social Media
2024,20,219200,Online Fraud,Mumbai,Financial
2024,5,112279,Malware,Delhi,Health
2021,5,466676,Phishing,Jaipur,Government
2022,6,159280,Data Breach,Bangalore,Financial
2023,9,119516,Phishing,Hyderabad,Social Media
2019,2,479366,Ransomware,Hyderabad,Social Media
2023,21,198096,Hacking,Bangalore,Financial
2022,12,434098,Phishing,Delhi,Educational
2022,3,420139,Hacking,Delhi,Financial
2022,20,377188,Hacking,Mumbai,Health
2023,26,233549,Ransomware,Pune,Social Media
2022,22,30165,Ransomware,Kolkata,Financial
2024,12,68203,Ransomware,Delhi,Corporate
2023,24,485965,Phishing,Chennai,Government
2022,17,267258,Cyber Bullying,Mumbai,Corporate
2024,10,459181,Ransomware,Lucknow,Health
2021,24,37321,Data Breach,Ahmedabad,Financial
2022,27,336441,Phishing,Lucknow,E-commerce
2023,14,359796,Ransomware,Mumbai,Health
2020,23,362448,Identity Theft,Jaipur,Educational
2022,17,246014,Hacking,Kolkata,Corporate
2020,18,157498,Data Breach,Ahmedabad,Corporate
2024,19,18772,Ransomware,Lucknow,Personal
2021,17,366898,Online Fraud,Ahmedabad,Financial
2019,14,266856,Hacking,Chennai,Educational
2021,9,395583,Hacking,Chennai,E-commerce
2022,8,239389,Ransomware,Chennai,Corporate
2020,2,116142,Cyber Bullying,Mumbai,Corporate
2020,13,92736,Malware,Kolkata,Educational
2023,25,52924,Cyber Bullying,Mumbai,Health
2020,7,4726,Ransomware,Hyderabad,Health
2023,9,352296,Hacking,Jaipur,Financial
2024,22,28723,Data Breach,Jaipur,Social Media
2019,22,390113,Online Fraud,Chennai,Personal
2022,11,235182,Data Breach,Hyderabad,Corporate
2023,14,363638,Data Breach,Delhi,Social Media
2019,4,141180,Hacking,Delhi,Social Media
2020,26,209786,Cyber Bullying,Chennai,Personal
2020,26,36643,Online Fraud,Lucknow,Social Media
2019,13,163396,Phishing,Mumbai,Social Media
2020,2,367040,Identity Theft,Chennai,Health
2024,23,215432,Hacking,Pune,Health
2024,5,140999,Ransomware,Ahmedabad,Government
2019,11,356824,Phishing,Jaipur,E-commerce
2023,6,359690,Identity Theft,Delhi,Financial
2023,18,416659,Ransomware,Bangalore,Social Media
2019,21,80973,Data Breach,Delhi,Government
2023,10,326593,Malware,Jaipur,E-commerce
2023,4,110834,Ransomware,Ahmedabad,Government
2024,9,237386,Online Fraud,Jaipur,Government
2023,6,470959,Online Fraud,Bangalore,Financial
2021,2,454449,Malware,Chennai,Financial
2022,17,288681,Phishing,Hyderabad,Educational
2020,5,495509,Identity Theft,Bangalore,Personal
2021,25,340720,Ransomware,Jaipur,Personal
2023,6,108522,Online Fraud,Jaipur,Educational
2024,26,23612,Phishing,Pune,Educational
2019,12,226049,Malware,Pune,Health
2023,23,269615,Cyber Bullying,Kolkata,E-commerce
2024,21,167703,Hacking,Pune,Government
2022,10,241069,Cyber Bullying,Mumbai,Social Media
2023,22,224131,Cyber Bullying,Hyderabad,Educational
2019,21,32348,Online Fraud,Ahmedabad,Corporate
2024,27,196804,Data Breach,Bangalore,Personal
2024,25,264321,Data Breach,Jaipur,Educational
2024,6,136832,Malware,Kolkata,Corporate
2022,27,295923,Ransomware,Kolkata,Corporate
2023,8,284780,Data Breach,Ahmedabad,Corporate
2022,2,82889,Cyber Bullying,Hyderabad,Health
2020,12,54551,Data Breach,Bangalore,Health
2020,13,405772,Cyber Bullying,Delhi,Social Media
2023,25,421814,Identity Theft,Pune,Social Media
2022,21,143635,Online Fraud,Chennai,Corporate
2019,7,47819,Online Fraud,Kolkata,E-commerce
2024,10,336914,Ransomware,Pune,Health
2024,13,485271,Data Breach,Pune,Government
2023,17,421182,Data Breach,Mumbai,Corporate
2020,26,213781,Hacking,Hyderabad,Government
2020,21,454105,Phishing,Chennai,Government
2024,28,159059,Identity Theft,Delhi,Corporate
2023,26,341858,Online Fraud,Jaipur,Personal
2022,14,499090,Identity Theft,Mumbai,E-commerce
2020,2,190420,Online Fraud,Pune,Corporate
2022,28,25596,Identity Theft,Pune,Social Media
2020,22,427390,Malware,Lucknow,Corporate
2020,11,327250,Cyber Bullying,Chennai,Health
2021,1,464183,Online Fraud,Chennai,Corporate
2020,19,60182,Identity Theft,Lucknow,Personal
2019,21,487516,Data Breach,Chennai,Health
2023,4,350307,Phishing,Pune,Social Media
2023,19,302454,Malware,Kolkata,Financial
2022,26,319232,Malware,Bangalore,Financial
2020,21,129803,Phishing,Pune,Government
2019,11,140978,Identity Theft,Mumbai,E-commerce
2022,8,300058,Data Breach,Hyderabad,Government
2021,11,373494,Ransomware,Lucknow,Personal
2022,4,46379,Phishing,Delhi,Educational
2022,17,472828,Identity Theft,Jaipur,Social Media
2020,27,246900,Phishing,Delhi,E-commerce
2021,7,259517,Phishing,Pune,Social Media
2022,8,431866,Online Fraud,Mumbai,Financial
2019,3,441097,Identity Theft,Pune,Government
2019,22,309557,Ransomware,Hyderabad,Social Media
2023,2,138084,Cyber Bullying,Kolkata,Financial
2021,23,182187,Online Fraud,Jaipur,Personal
2021,15,270295,Phishing,Hyderabad,Personal
2023,24,58716,Cyber Bullying,Lucknow,Educational
2022,22,356891,Hacking,Lucknow,Social Media
2021,22,224725,Cyber Bullying,Pune,Educational
2019,5,168450,Phishing,Mumbai,Health
2019,24,174724,Phishing,Hyderabad,E-commerce
2020,1,204502,Data Breach,Ahmedabad,Social Media
2021,26,145539,Identity Theft,Mumbai,Personal
2022,4,425226,Identity Theft,Kolkata,Government
2023,15,122999,Online Fraud,Lucknow,Financial
2023,20,115793,Ransomware,Pune,Corporate
2022,19,448907,Online Fraud,Chennai,Educational
2024,3,458373,Malware,Lucknow,Corporate
2020,20,371321,Phishing,Jaipur,Social Media
2023,11,13289,Cyber Bullying,Bangalore,Government
2021,17,177048,Hacking,Chennai,Educational
2020,27,175668,Phishing,Pune,Corporate
2021,13,417387,Phishing,Ahmedabad,E-commerce
2019,11,232513,Online Fraud,Chennai,Government
2020,2,258368,Hacking,Jaipur,Financial
2023,9,87365,Hacking,Mumbai,E-commerce
2020,26,231662,Hacking,Ahmedabad,Government
2020,2,377158,Online Fraud,Lucknow,Health
2020,21,176211,Phishing,Ahmedabad,Educational
2024,9,180785,Online Fraud,Hyderabad,Personal
2020,9,423950,Identity Theft,Jaipur,Financial
2021,8,73588,Identity Theft,Chennai,Social Media
2019,17,64646,Online Fraud,Hyderabad,E-commerce
2022,1,266798,Hacking,Ahmedabad,E-commerce
2020,25,483238,Data Breach,Hyderabad,Corporate
2023,11,281887,Phishing,Delhi,Educational
2020,8,311512,Online Fraud,Jaipur,Social Media
2023,10,222097,Online Fraud,Kolkata,Personal
2021,25,206244,Online Fraud,Mumbai,Government
2023,7,400657,Data Breach,Ahmedabad,Personal
2022,3,120735,Data Breach,Jaipur,Educational
2019,3,156683,Malware,Kolkata,Educational
2023,18,383035,Identity Theft,Kolkata,Health
2023,5,108971,Cyber Bullying,Pune,Health
2019,12,13149,Hacking,Hyderabad,Personal
2022,12,363246,Ransomware,Kolkata,Government
2020,19,322333,Data Breach,Delhi,Personal
2023,6,239976,Cyber Bullying,Jaipur,Educational
